CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventType,NatRef,lon_x1,lat_y1,lon_x2,lat_y2,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20171231,Cleanup,,8.513088025706837,47.428472845868676,8.512952828358273,47.42936038271861,,,,,1,,,,,,,,,,,,,,,1,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20170430,Cleanup,,8.513088025706837,47.428472845868676,8.512952828358273,47.42936038271861,,1,,,1,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swiss Litter Report,katzenbach_zuerich_sanesim,CH,,99,Rural,Other (mixed),20180228,Cleanup,,8.513088025706837,47.428472845868676,8.512952828358273,47.42936038271861,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legambiente Onlus,Free beach Viale Circe,IT,Mediterranean Sea,100,Near river mouth,Sandy,20161009,Monitoring,,13.23758800007952,41.28420300008794,13.238769999737093,41.28411999969601,,2,,,,,3,,,,,,,,,,,92,,,22,12,8,1500,5,,18,23,14,7,18,25,,1,,,,,,,,,,,,,3,7,,,17,7,6,,,1,3,,4,,,,,,,,360,,42,,,,,12,,,,,,3,20,5,,,,18,,,,3,,,,,,7,,,,,,,,,32,,,,2,,,,3,,,,23,,4,,,,,,18,,,,7,1,,5,34,56,,,3,,,,,,,,,,4,,,,37,,,,12,,,,14,,15,
MELTEMI BalkanMed,Lithi,GR,Mediterranean Sea,49,Rural,Sandy,20181012,Monitoring,,25.99098999999959,38.340736999999336,25.9915309999996,38.3405909999993,,5,2,,8,2,,5,,1,,1,,,,,,104,12,24,12,19,50,658,,,10,4,4,10,4,93,,,4,,,,,,,,30,57,,,,,,,23,18,5,,,,1,2,,,,1,,4,,1,444,19,6,,,,,,,,,,,7,96,,,1,1,1,,,2,1,,1,4,2,,,,,2,2,,,,,,,,2,,,,,,,,,25,,,,,,,,,,,11,20,,4,,3,,,,,,,,,,,,7,,,,3,2,,,,,2,,,,5,,,
Surfrider Foundation Europe,"Rue Tutilenia Bidart, 64210 Bidart, France",FR,North-east Atlantic Ocean,81,,,20150530,Cleanup,,-1.5835999998182955,43.44730000019885,-1.5825999997355964,43.44730000019885,,1000,,,5,5,,50,,,,,,,,,,20,,,,,2,20,,,,2,2,,,,,,,,,,,,,,,5,,,,5,,,5,,,,,,,,,,5,3,,,,,500,,500,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,,,,,,,,30,,,
Marnoba,"El Serradal, Castellón/Castelló",ES,Mediterranean Sea,100,Near river mouth,Sandy,20161017,Cleanup,,0.032275,40.00397099999999,0.033275,40.00397099999999,,11,,,4,,,1,,,,,,,,,,7,,,,,,47,,,6,,,,,6,,,,,,,,,,,,3,5,,,,,,6,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,6,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
HELMEPA - Hellenic Marine Environment Protection Association,"Freattyda, Piraeus",GR,Mediterranean Sea,281,Urban,Other (mixed),20181021,Cleanup,,23.648837867834295,37.93061101142414,23.64579229156026,37.92984938914919,,46,,,50,18,4,,23,11,1,,,,,1,,350,,,,7,46,140,,,51,,,106,,464,,,,,,,,,,,,20,,5,,,,11,,,,3,,,10,2,,,,,,1,,,335,,285,,,,,,,50,,,,,20,,,,2,,,1,2,4,,,,,,,,,,7,,,,,,,,,8,12,2,,3,,2,,45,10,2,4,10,,,,,,,,,,43,2,14,5,,,,,,,,,,2,10,2,,,,,25,,3,,,,,,30,,,
Plastic Change,Seden Strand,DK,Baltic Sea,286,,,20180909,Cleanup,,10.44941370923236,55.44150526804122,10.453410393881471,55.442715963173356,,2,2,1,,1,,,1,1,,,,,,,,3,,,,2,1,2,,,2,,,6,2,1,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,,20,,,,,,4,2,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,1,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Surfrider Foundation Europe,"29 Rue des Dunes, 17580 Le Bois-Plage-en-Ré, France",FR,North-east Atlantic Ocean,77,,,20151027,Cleanup,,-1.3950299996286222,46.17800000022908,-1.3940300004442536,46.17800000022908,,9,,,6,10,,10,,,,,,,,,,20,,,,,4,200,,,10,100,1,15,5,,,,,,,,,,,,,50,,,,20,,,2,,,,,,,,,,,10,,,,,10,,30,,,,,,,,,,,,5,,,,,4,,,,,,,,,,,,,,20,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,15,,20,,,,,,,,15,,,
